2023-05-06 10:43:00,381 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - Starting FederatedServerApplication on Hasnain-Rabbani with PID 16876 (E:\Workspace\Eclipse\zeroinfinity\thesis\federated-server\federated-server\target\classes started by hp in E:\Workspace\Eclipse\zeroinfinity\thesis\federated-server\federated-server) 
2023-05-06 10:43:00,384 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - No active profile set, falling back to default profiles: default 
2023-05-06 10:43:01,714 [main] INFO  [EnableEncryptablePropertiesBeanFactoryPostProcessor] [RRN="] - [STAN="] - Post-processing PropertySource instances 
2023-05-06 10:43:01,818 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy 
2023-05-06 10:43:01,821 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 10:43:01,821 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 10:43:01,821 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper 
2023-05-06 10:43:01,822 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper 
2023-05-06 10:43:01,822 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 10:43:01,822 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource applicationConfig: [file:./application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper 
2023-05-06 10:43:01,999 [main] INFO  [DefaultLazyPropertyFilter] [RRN="] - [STAN="] - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter 
2023-05-06 10:43:02,576 [main] INFO  [TomcatWebServer] [RRN="] - [STAN="] - Tomcat initialized with port(s): 9090 (http) 
2023-05-06 10:43:02,585 [main] INFO  [Http11NioProtocol] [RRN="] - [STAN="] - Initializing ProtocolHandler ["http-nio-9090"] 
2023-05-06 10:43:02,585 [main] INFO  [StandardService] [RRN="] - [STAN="] - Starting service [Tomcat] 
2023-05-06 10:43:02,585 [main] INFO  [StandardEngine] [RRN="] - [STAN="] - Starting Servlet engine: [Apache Tomcat/9.0.36] 
2023-05-06 10:43:03,147 [main] INFO  [[/]] [RRN="] - [STAN="] - Initializing Spring embedded WebApplicationContext 
2023-05-06 10:43:03,147 [main] INFO  [ServletWebServerApplicationContext] [RRN="] - [STAN="] - Root WebApplicationContext: initialization completed in 2727 ms 
2023-05-06 10:43:03,156 [main] INFO  [DefaultLazyPropertyResolver] [RRN="] - [STAN="] - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver 
2023-05-06 10:43:03,162 [main] INFO  [DefaultLazyPropertyDetector] [RRN="] - [STAN="] - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector 
2023-05-06 10:43:03,799 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/v2/api-docs'], [] 
2023-05-06 10:43:03,799 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/configuration/ui'], [] 
2023-05-06 10:43:03,799 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/swagger-resources/**'], [] 
2023-05-06 10:43:03,800 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/configuration/**'], [] 
2023-05-06 10:43:03,800 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/swagger-ui.html'], [] 
2023-05-06 10:43:03,800 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/webjars/**'], [] 
2023-05-06 10:43:03,837 [main] INFO  [PropertySourcedRequestMappingHandlerMapping] [RRN="] - [STAN="] - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2023-05-06 10:43:03,929 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@554c4eaa, org.springframework.security.web.context.SecurityContextPersistenceFilter@670b3ca, org.springframework.security.web.header.HeaderWriterFilter@d1d8e1a, org.springframework.web.filter.CorsFilter@29fd8e67, org.springframework.security.web.authentication.logout.LogoutFilter@79c5460e, com.zeroinfinity.federatedserver.config.JwtRequestFilter@2c0b4c83, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@54402c04, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6c101cc1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e146f93, org.springframework.security.web.session.SessionManagementFilter@3fd9e827, org.springframework.security.web.access.ExceptionTranslationFilter@76332405, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@36c281ed] 
2023-05-06 10:43:03,986 [main] INFO  [ThreadPoolTaskExecutor] [RRN="] - [STAN="] - Initializing ExecutorService 'applicationTaskExecutor' 
2023-05-06 10:43:04,136 [main] INFO  [Http11NioProtocol] [RRN="] - [STAN="] - Starting ProtocolHandler ["http-nio-9090"] 
2023-05-06 10:43:04,166 [main] INFO  [TomcatWebServer] [RRN="] - [STAN="] - Tomcat started on port(s): 9090 (http) with context path '' 
2023-05-06 10:43:04,167 [main] INFO  [DocumentationPluginsBootstrapper] [RRN="] - [STAN="] - Context refreshed 
2023-05-06 10:43:04,188 [main] INFO  [DocumentationPluginsBootstrapper] [RRN="] - [STAN="] - Found 1 custom documentation plugin(s) 
2023-05-06 10:43:04,220 [main] INFO  [ApiListingReferenceScanner] [RRN="] - [STAN="] - Scanning for api listing references 
2023-05-06 10:43:04,241 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - Started FederatedServerApplication in 4.689 seconds (JVM running for 5.172) 
2023-05-06 10:43:35,833 [http-nio-9090-exec-1] INFO  [[/]] [RRN="] - [STAN="] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2023-05-06 10:43:35,833 [http-nio-9090-exec-1] INFO  [DispatcherServlet] [RRN="] - [STAN="] - Initializing Servlet 'dispatcherServlet' 
2023-05-06 10:43:35,841 [http-nio-9090-exec-1] INFO  [DispatcherServlet] [RRN="] - [STAN="] - Completed initialization in 8 ms 
2023-05-06 10:46:28,391 [http-nio-9090-exec-7] ERROR [RestExceptionHandler] [RRN="] - [STAN="] - Generic Exception Handler envoked 
2023-05-06 10:46:36,535 [http-nio-9090-exec-8] INFO  [JwtAuthenticationController] [RRN="] - [STAN="] - Authenticating : User : admin 
2023-05-06 10:49:54,169 [http-nio-9090-exec-2] ERROR [RestExceptionHandler] [RRN="] - [STAN="] - Generic Exception Handler envoked 
2023-05-06 10:50:23,152 [http-nio-9090-exec-4] INFO  [ServiceController] [RRN="] - [STAN="] - Request received @ V1 
2023-05-06 10:50:23,160 [http-nio-9090-exec-4] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming signing request. Bank: null & Message: Hasnain here 
2023-05-06 10:50:23,160 [http-nio-9090-exec-4] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming message signed successfully. 
2023-05-06 10:50:42,604 [http-nio-9090-exec-7] INFO  [ServiceController] [RRN="] - [STAN="] - Request received @ V1 
2023-05-06 10:50:42,604 [http-nio-9090-exec-7] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming signing request. Bank: null & Message: Hasnain here 
2023-05-06 10:50:42,604 [http-nio-9090-exec-7] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming message signed successfully. 
2023-05-06 10:50:57,477 [http-nio-9090-exec-6] INFO  [ServiceController] [RRN="] - [STAN="] - Request received @ V1 
2023-05-06 10:50:57,477 [http-nio-9090-exec-6] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming signing request. Bank: null & Message: Hasnain here 
